 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
   3.01020336       3.02726310E-02   37212.0977    
   3.01050329       3.02696135E-02   80913.5547    
   3.01080322       3.02665997E-02   81470.5625    
   3.07340527       2.96500996E-02   58568.9102    
   3.17566991       2.86952928E-02   56074.9570    
   3.28133726       2.77712289E-02   86397.6172    
   3.39052081       2.68769264E-02   83475.8047    
   3.47691989       2.62090527E-02   43045.3633    
   3.47721982       2.62067895E-02   74170.7578    
   3.47751975       2.62045301E-02   61948.1523    
   3.48720956       2.61317175E-02   27127.6035    
   3.48750949       2.61294711E-02   4495.19824    
   3.48780942       2.61272229E-02   52131.9492    
   3.50333714       2.60114186E-02   17203.8477    
   3.51954889       2.58916058E-02   100353.492    
   3.51984882       2.58893985E-02   71923.1563    
   3.52014875       2.58871932E-02   121866.063    
   3.61990738       2.51737870E-02   52104.0234    
   3.74035645       2.43631266E-02   16944.9980    
   3.86481380       2.35785674E-02   8332.83594    
   3.99341249       2.28192750E-02   1309.40186    
   3.99970007       2.27834024E-02   2251.34082    
   4.00000000       2.27816943E-02   0.00000000    
   4.00029993       2.27799863E-02   107.247742    
   4.03771400       2.25689020E-02   0.00000000    
   4.03801394       2.25672256E-02   0.00000000    
   4.03831387       2.25655511E-02   0.00000000    
   4.12629032       2.20844317E-02   0.00000000    
   4.26358843       2.13732570E-02   0.00000000    
   4.39565277       2.07311139E-02   0.00000000    
   4.39595270       2.07296982E-02   0.00000000    
   4.39625263       2.07282845E-02   0.00000000    
   4.40545559       2.06849836E-02   0.00000000    
   4.55204296       2.00188737E-02   0.00000000    
   4.66392231       1.95386559E-02   0.00000000    
   4.66422224       1.95373986E-02   0.00000000    
   4.66452217       1.95361432E-02   0.00000000    
   4.70350790       1.93742160E-02   0.00000000    
   4.73962593       1.92265753E-02   0.00000000    
   4.73992586       1.92253590E-02   0.00000000    
   4.74022579       1.92241427E-02   0.00000000    
   4.86001253       1.87503174E-02   0.00000000    
   5.02172518       1.81465074E-02   0.00000000    
   5.18881798       1.75621454E-02   0.00000000    
   5.34157991       1.70598906E-02   0.00000000    
   5.34187984       1.70589332E-02   0.00000000    
   5.34217978       1.70579758E-02   0.00000000    
   5.36147118       1.69965979E-02   0.00000000    
   5.51356649       1.65277366E-02   0.00000000    
   5.51386642       1.65268369E-02   0.00000000    
   5.51416636       1.65259391E-02   0.00000000    
   5.53986931       1.64492652E-02   0.00000000    
   5.68922853       1.60174221E-02   0.00000000    
   5.68952847       1.60165764E-02   0.00000000    
   5.68982840       1.60157327E-02   0.00000000    
   5.69363832       1.60050169E-02   0.00000000    
   5.69393826       1.60041731E-02   0.00000000    
   5.69423819       1.60033293E-02   0.00000000    
   5.72420311       1.59195568E-02   0.00000000    
   5.91467094       1.54069047E-02   0.00000000    
   6.11147594       1.49107641E-02   0.00000000    
   6.31482983       1.44305974E-02   0.00000000    
   6.47125387       1.40817789E-02   0.00000000    
   6.47155380       1.40811279E-02   0.00000000    
   6.47185373       1.40804742E-02   0.00000000    
   6.52494955       1.39658973E-02   0.00000000    
   6.68880939       1.36237657E-02   0.00000000    
   6.68910933       1.36231547E-02   0.00000000    
   6.68940926       1.36225447E-02   0.00000000    
   6.74206114       1.35161597E-02   0.00000000    
   6.96639681       1.30809052E-02   0.00000000    
   7.13788605       1.27666332E-02   0.00000000    
   7.13818598       1.27660977E-02   0.00000000    
   7.13848591       1.27655594E-02   0.00000000    
   7.19447994       1.26662068E-02   0.00000000    
   7.19477987       1.26656787E-02   0.00000000    
   7.19507980       1.26651516E-02   0.00000000    
   7.19819736       1.26596661E-02   0.00000000    
   7.43771076       1.22519927E-02   0.00000000    
   7.68519449       1.18574463E-02   0.00000000    
   7.94091225       1.14756059E-02   0.00000000    
   8.20513821       1.11060617E-02   0.00000000    
   8.37119293       1.08857583E-02   0.00000000    
   8.37149334       1.08853672E-02   0.00000000    
   8.37179375       1.08849760E-02   0.00000000    
   8.47815704       1.07484171E-02   0.00000000    
   8.76025963       1.04022911E-02   0.00000000    
   9.05174923       1.00673120E-02   0.00000000    
   9.27522564       9.82475094E-03   0.00000000    
   9.27552605       9.82443150E-03   0.00000000    
   9.27582645       9.82411392E-03   0.00000000    
   9.35293770       9.74311773E-03   0.00000000    
   9.66414833       9.42936447E-03   0.00000000    
   9.98571396       9.12571419E-03   0.00000000    
   10.1498594       8.97813123E-03   0.00000000    
   10.1501598       8.97786580E-03   0.00000000    
   10.1504602       8.97760037E-03   0.00000000    
   10.3179789       8.83184373E-03   0.00000000    
   10.6613007       8.54743458E-03   0.00000000    
   11.0160475       8.27218499E-03   0.00000000    
   11.3825979       8.00579786E-03   0.00000000    
   11.6051311       7.85228238E-03   0.00000000    
   11.6054316       7.85208028E-03   0.00000000    
   11.6057320       7.85187632E-03   0.00000000    
   11.7613449       7.74798915E-03   0.00000000    
   12.1526947       7.49848317E-03   0.00000000    
   12.5570660       7.25701172E-03   0.00000000    
   12.9748917       7.02331634E-03   0.00000000    
   13.4066210       6.79714745E-03   0.00000000    
   13.8527155       6.57826057E-03   0.00000000    
   14.3136539       6.36642333E-03   0.00000000    
   14.7899294       6.16140710E-03   0.00000000    
   15.2820530       5.96299302E-03   0.00000000    
   15.7905512       5.77096920E-03   0.00000000    
   16.3159695       5.58512798E-03   0.00000000    
   16.8588696       5.40527189E-03   0.00000000    
   17.4198360       5.23120724E-03   0.00000000    
   17.9994659       5.06274868E-03   0.00000000    
  
 Total energy radiated out of the nebula [e36 erg/s]:   17.4195499    
 dTheta:   0.314159274    
 dPhi:   0.314159274    
  
