  Optical depth from the centre to the edge of the nubula 
  direction: 1,0,0
  lambda [um]    tau(R_max) 
  0.786932409       0.00000000    
  0.784898996       0.00000000    
  0.782876074       0.00000000    
  0.782670975       0.00000000    
  0.757466912       0.00000000    
  0.745840371       0.00000000    
  0.744013548       0.00000000    
  0.742195606       0.00000000    
  0.733074546       0.00000000    
  0.709467709       0.00000000    
  0.686620891       0.00000000    
  0.665061891       0.00000000    
  0.664510012       0.00000000    
  0.663608909       0.00000000    
  0.662162304       0.00000000    
  0.643111110       0.00000000    
  0.622401357       0.00000000    
  0.602358401       0.00000000    
  0.582960904       0.00000000    
  0.564188123       0.00000000    
  0.546019852       0.00000000    
  0.528436661       0.00000000    
  0.511419594       0.00000000    
  0.494950533       0.00000000    
  0.479011983       0.00000000    
  0.463586599       0.00000000    
  0.448657870       0.00000000    
  0.434209973       0.00000000    
  0.420227349       0.00000000    
  0.406694919       0.00000000    
  0.393598318       0.00000000    
  0.380923420       0.00000000    
  0.368656725       0.00000000    
  0.368442059       0.00000000    
  0.367995709       0.00000000    
  0.367550433       0.00000000    
  0.365032762       0.00000000    
  0.364594638       0.00000000    
  0.364157528       0.00000000    
  0.356784999       0.00000000    
  0.345295638       0.00000000    
  0.342581838       0.00000000    
  0.342195928       0.00000000    
  0.341810882       0.00000000    
  0.334176213       0.00000000    
  0.323414922       0.00000000    
  0.313000172       0.00000000    
  0.312516809       0.00000000    
  0.312195599       0.00000000    
  0.311875075       0.00000000    
  0.302920729       0.00000000    
  0.293165922       0.00000000    
  0.283725232       0.00000000    
  0.274588555       0.00000000    
  0.265746117       0.00000000    
  0.257188410       0.00000000    
  0.248906285       0.00000000    
  0.240890861       0.00000000    
  0.233133554       0.00000000    
  0.225626081       0.00000000    
  0.218360350       0.00000000    
  0.211328581       0.00000000    
  0.204523250       0.00000000    
  0.197937101       0.00000000    
  0.191563010       0.00000000    
  0.185394183       0.00000000    
  0.179424018       0.00000000    
  0.173646092       0.00000000    
