  Optical depth from the centre to the edge of the nubula 
  direction: 1,0,0
  lambda [um]    tau(R_max) 
  0.249827489       0.00000000    
  0.241882622       0.00000000    
  0.234190404       0.00000000    
  0.226742804       0.00000000    
  0.219532028       0.00000000    
  0.212550595       0.00000000    
  0.205791175       0.00000000    
  0.199246705       0.00000000    
  0.192910373       0.00000000    
  0.186775535       0.00000000    
  0.180835813       0.00000000    
  0.175084978       0.00000000    
  0.169517010       0.00000000    
  0.164126128       0.00000000    
  0.158906668       0.00000000    
  0.153853208       0.00000000    
  0.148960441       0.00000000    
  0.144223273       0.00000000    
  0.139636755       0.00000000    
  0.135196105       0.00000000    
  0.130896673       0.00000000    
  0.126733959       0.00000000    
  0.122703627       0.00000000    
  0.119723164       0.00000000    
  0.119676001       9.07572712E-07
  0.119628869       9.07872334E-07
  0.118801475       9.13187364E-07
  0.115023412       9.38819653E-07
  0.111365497       9.65925210E-07
  0.110150352       9.75463422E-07
  0.110110424       7.71427876E-04
  0.110070519       7.71290099E-04
  0.107823901       7.63051561E-04
  0.104394950       7.48641265E-04
  0.101075031       7.32637709E-04
   9.78606939E-02   7.15293456E-04
   9.47485864E-02   6.96842035E-04
   9.17354375E-02   6.77497766E-04
   9.12057608E-02   6.73952803E-04
   9.11783800E-02   10.8447046    
   9.11510214E-02   10.8402548    
   9.10583735E-02   10.8106785    
   9.10310820E-02   10.8024731    
   9.10038054E-02   10.7937813    
   8.88181180E-02   10.1106491    
   8.59935731E-02   9.26691151    
   8.53538811E-02   9.08188915    
   8.53298977E-02   9.07532120    
   8.53059292E-02   9.06843281    
   8.32588449E-02   8.49177361    
   8.06110948E-02   7.77926159    
   7.86906406E-02   7.28571033    
   7.86702558E-02   7.28057384    
   7.86498860E-02   7.27544832    
   7.80475363E-02   7.12475872    
   7.55655169E-02   6.52372265    
   7.31624216E-02   5.97192287    
   7.08357468E-02   5.46547794    
   6.85830638E-02   5.00078058    
   6.64020255E-02   4.57450008    
   6.42903373E-02   4.18356657    
   6.22458085E-02   3.82514572    
   6.02663010E-02   3.49661851    
   5.83497435E-02   3.19556785    
   5.75175397E-02   3.06998801    
   5.75066470E-02   3.06836820    
   5.74957617E-02   3.06674576    
   5.64941317E-02   2.91977286    
   5.46975359E-02   2.66717076    
   5.31530380E-02   2.46115637    
   5.31437360E-02   2.46000600    
   5.31344377E-02   2.45879745    
   5.29580750E-02   2.43593359    
   5.12739308E-02   2.22419405    
   5.08634523E-02   2.17438006    
   5.08549362E-02   2.19261193    
   5.08464240E-02   2.19158816    
   5.04092276E-02   2.43753910    
   5.04008606E-02   2.43647242    
   5.03924973E-02   2.43540502    
   4.96433452E-02   2.34094381    
   4.80646119E-02   2.14905095    
   4.65360880E-02   1.97246850    
   4.50561717E-02   1.81004822    
   4.48797159E-02   1.79123926    
   4.48730886E-02   1.79057980    
   4.48664613E-02   1.78987575    
   4.36233208E-02   1.66075134    
   4.22360338E-02   1.52348232    
   4.18923721E-02   1.49057901    
   4.18865979E-02   1.51964438    
   4.18808237E-02   1.51910162    
   4.08928655E-02   1.42759717    
   3.95924114E-02   1.31166244    
   3.83333154E-02   1.20457697    
   3.71142589E-02   1.10586512    
   3.59339714E-02   1.01498747    
   3.56011651E-02  0.990196764    
   3.55969928E-02  0.989911318    
   3.55928242E-02  0.989603221    
   3.53071615E-02  0.968624592    
   3.53030562E-02   1.00606835    
   3.52989547E-02   1.00578153    
   3.47912163E-02  0.970521688    
   3.36848050E-02  0.895395160    
   3.26135792E-02  0.825235605    
   3.15764174E-02  0.759995401    
   3.05722393E-02  0.699508369    
   3.04361191E-02  0.691517770    
   3.04330699E-02  0.691398978    
   3.04300208E-02  0.691220522    
   3.02726310E-02  0.682044864    
   3.02696154E-02  0.683436334    
   3.02665997E-02  0.683261812    
   2.95999944E-02  0.645249188    
   2.86586694E-02  0.593642652    
   2.77472809E-02  0.546002984    
   2.68648788E-02  0.502060235    
   2.62090527E-02  0.470786959    
   2.62067914E-02  0.470689923    
   2.62045320E-02  0.470584214    
   2.61317175E-02  0.467185676    
   2.61294693E-02  0.480400801    
   2.61272229E-02  0.480317920    
   2.60105357E-02  0.475974590    
   2.58916058E-02  0.471477449    
   2.58894004E-02  0.500935078    
   2.58871950E-02  0.500847042    
   2.51833610E-02  0.471948892    
   2.43824944E-02  0.438305318    
   2.36070938E-02  0.406029016    
   2.28563547E-02  0.375568032    
   2.27834024E-02  0.372660279    
   2.27816943E-02   4.81914330    
   2.27799863E-02   4.81817961    
   2.25689020E-02   4.69995546    
   2.25672256E-02   4.74076700    
   2.25655511E-02   4.73982954    
   2.21294891E-02   4.49971104    
   2.14257371E-02   4.12756205    
   2.07443684E-02   3.78518772    
   2.07311139E-02   3.77870131    
   2.07296982E-02   3.77804613    
   2.07282845E-02   3.77735472    
   2.00846661E-02   3.47035742    
   1.95386559E-02   3.22198606    
   1.95374005E-02   3.24146557    
   1.95361432E-02   3.24092817    
   1.94459446E-02   3.20238161    
   1.92265753E-02   3.10946393    
   1.92253590E-02   3.11511254    
   1.92241427E-02   3.11459970    
   1.88275352E-02   2.94955802    
   1.82287917E-02   2.70866394    
   1.76490881E-02   2.48560452    
   1.70878228E-02   2.27962208    
   1.70598924E-02   2.26963234    
   1.70589332E-02   2.26929903    
   1.70579758E-02   2.26895690    
   1.65444035E-02   2.08975935    
   1.65277366E-02   2.08408594    
   1.65268369E-02   2.08379865    
   1.65259391E-02   2.08349276    
   1.60182677E-02   1.91497433    
   1.60174221E-02   1.91470098    
   1.60165783E-02   1.92030323    
   1.60157327E-02   1.92003131    
   1.60050169E-02   1.91659129    
   1.60041731E-02   1.92155635    
   1.60033312E-02   1.92128539    
   1.55088631E-02   1.76606846    
   1.50156580E-02   1.61861289    
   1.45381391E-02   1.48287070    
   1.40817799E-02   1.35960138    
   1.40811279E-02   1.35943389    
   1.40804751E-02   1.35926187    
   1.40758036E-02   1.35803318    
